# Bin     Bin Center     Bin Content
  1       45.250         0.000
  2       92.588         0.000
  3       96.762         0.000
  4       100.939         0.000
  5       105.120         0.000
  6       109.368         0.000
  7       113.618         0.000
  8       117.809         0.000
  9       122.004         0.000
  10       126.203         0.000
  11       130.406         0.000
  12       134.612         0.000
  13       138.821         0.000
  14       143.034         0.000
  15       147.249         0.000
  16       151.469         0.000
  17       155.692         0.937
  18       159.918         0.890
  19       164.208         0.898
  20       168.501         1.025
  21       172.737         1.083
  22       176.976         1.042
  23       181.218         0.953
  24       185.463         1.351
  25       189.712         1.423
  26       193.964         1.199
  27       198.218         1.196
  28       202.476         1.220
  29       206.737         1.093
  30       211.000         0.960
  31       215.266         0.963
  32       219.594         0.998
  33       223.925         0.990
  34       228.201         0.997
  35       232.479         1.021
  36       236.759         0.998
  37       241.042         1.032
  38       245.328         1.024
  39       249.616         1.066
  40       253.908         1.099
  41       258.202         1.080
  42       262.499         1.088
  43       266.798         1.034
  44       271.099         1.051
  45       275.461         1.093
  46       279.825         1.071
  47       284.134         1.055
  48       288.445         0.970
  49       292.759         1.033
  50       297.075         1.086
  51       301.393         1.079
  52       305.712         1.083
  53       310.034         1.077
  54       314.360         1.097
  55       318.687         1.118
  56       323.015         1.167
  57       327.402         1.196
  58       331.791         1.219
  59       336.125         1.126
  60       340.462         1.183
  61       344.799         1.246
  62       349.139         1.172
  63       353.482         1.139
  64       357.825         1.227
  65       362.170         1.167
  66       366.516         1.130
  67       370.864         1.216
  68       375.215         1.240
  69       379.633         1.184
  70       384.052         1.203
  71       388.406         1.115
  72       392.761         1.277
  73       397.117         1.332
  74       401.476         1.213
  75       405.836         1.235
  76       410.195         1.263
  77       414.556         1.142
  78       418.919         1.258
  79       423.283         1.289
  80       427.646         1.306
  81       432.066         1.335
  82       436.487         1.330
  83       440.855         1.360
  84       445.223         1.348
  85       449.591         1.380
  86       453.960         1.360
  87       458.331         1.363
  88       462.701         1.297
  89       467.072         1.397
  90       471.444         1.417
  91       475.816         1.451
  92       480.188         1.466
  93       484.624         1.510
  94       489.060         1.501
  95       493.432         1.537
  96       497.805         1.534
  97       502.178         1.558
  98       506.551         1.596
  99       510.924         1.633
  100       515.297         1.584
  101       519.670         1.588
  102       524.043         1.637
  103       528.416         1.673
  104       532.787         1.714
  105       537.220         1.636
  106       541.652         1.649
  107       546.022         1.788
  108       550.393         1.858
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         1.937
  112       567.866         1.899
  113       572.233         1.928
  114       576.598         1.997
  115       580.963         2.041
  116       585.326         2.103
  117       589.748         2.149
  118       594.169         2.207
  119       598.528         2.250
  120       602.886         2.260
  121       607.242         2.320
  122       611.599         2.171
  123       615.953         2.190
  124       620.306         2.270
  125       624.656         2.167
  126       629.005         1.764
  127       633.353         1.478
  128       637.699         1.397
  129       642.109         1.240
  130       646.518         1.090
  131       650.857         0.998
  132       655.195         0.948
  133       659.530         0.945
  134       663.863         0.927
  135       668.194         0.943
  136       672.522         0.929
  137       676.847         0.921
  138       681.171         0.932
  139       685.492         0.922
  140       689.810         0.944
  141       694.190         0.776
  142       698.568         0.783
  143       702.877         0.946
  144       707.183         0.918
  145       711.487         0.940
  146       715.787         0.939
  147       720.085         0.880
  148       724.378         0.916
  149       728.669         0.972
  150       732.956         0.924
  151       737.240         0.938
  152       741.521         0.912
  153       745.851         0.739
  154       750.177         0.836
  155       754.446         0.958
  156       758.712         0.938
  157       762.973         0.931
  158       767.231         0.955
  159       771.484         0.956
  160       775.734         0.000
  161       779.980         0.956
  162       784.220         0.916
  163       788.457         0.954
  164       792.689         0.991
  165       796.976         1.016
  166       801.258         1.005
  167       805.477         1.007
  168       809.691         0.985
  169       813.899         0.993
  170       818.102         0.982
  171       822.301         1.015
  172       826.495         0.932
  173       830.684         1.062
  174       834.867         0.941
  175       839.046         1.051
  176       843.268         1.033
  177       847.484         1.043
  178       851.646         1.036
  179       855.803         1.050
  180       859.954         1.068
  181       864.099         1.034
  182       868.237         1.056
  183       872.370         1.064
  184       876.498         1.060
  185       880.620         1.081
  186       884.736         1.086
  187       888.899         1.113
  188       893.056         1.054
  189       897.154         1.012
  190       901.244         0.997
  191       905.327         0.962
  192       909.403         0.946
  193       913.473         0.917
  194       917.536         0.918
  195       921.594         0.903
  196       925.643         0.912
  197       929.686         0.933
  198       933.775         0.871
  199       937.856         0.885
  200       941.877         0.812
  201       945.891         0.781
  202       949.898         0.832
  203       953.897         0.867
  204       957.890         0.910
  205       961.875         0.911
  206       965.852         0.940
  207       969.821         0.920
  208       973.782         0.915
  209       977.786         0.919
  210       981.782         0.904
  211       985.720         0.878
  212       989.648         0.868
  213       993.570         0.868
  214       997.482         0.868
  215       1001.387         0.934
  216       1005.284         0.954
  217       1009.173         0.931
  218       1013.053         0.929
  219       1016.924         0.968
  220       1020.833         0.951
  221       1024.735         0.960
  222       1028.581         0.934
  223       1032.417         0.949
  224       1036.243         0.970
  225       1040.061         0.885
  226       1043.871         0.934
  227       1047.670         0.923
  228       1051.460         0.989
  229       1055.243         0.956
  230       1059.062         0.893
  231       1062.870         0.825
  232       1066.623         0.959
  233       1070.367         0.905
  234       1074.101         0.908
  235       1077.825         0.909
  236       1081.541         0.891
  237       1085.246         0.916
  238       1088.941         0.969
  239       1092.627         0.972
  240       1096.340         0.987
  241       1100.042         0.975
  242       1103.698         0.960
  243       1107.344         0.936
  244       1110.979         0.927
  245       1114.604         0.928
  246       1118.219         0.888
  247       1121.823         0.967
  248       1125.417         1.000
  249       1129.001         1.043
  250       1132.615         0.921
  251       1136.219         0.953
  252       1139.771         0.897
  253       1143.311         0.924
  254       1146.842         0.983
  255       1150.362         0.947
  256       1153.871         0.000
  257       1157.369         0.980
  258       1160.856         0.986
  259       1164.366         0.978
  260       1167.865         0.920
  261       1171.318         0.993
  262       1174.762         1.030
  263       1178.194         0.995
  264       1181.615         0.996
  265       1185.025         1.044
  266       1188.424         0.965
  267       1191.812         0.977
  268       1195.224         0.969
  269       1198.626         1.036
  270       1201.979         1.009
  271       1205.321         1.087
  272       1208.652         0.996
  273       1211.970         1.031
  274       1215.277         1.039
  275       1218.574         1.031
  276       1221.859         1.040
  277       1225.168         1.058
  278       1228.464         1.057
  279       1231.712         1.067
  280       1234.951         1.132
  281       1238.178         1.137
  282       1241.392         0.852
  283       1244.596         0.877
  284       1247.788         1.079
  285       1250.967         1.110
  286       1254.176         0.854
  287       1257.373         0.955
  288       1260.518         1.058
  289       1263.651         1.082
  290       1266.772         1.077
  291       1269.882         1.089
  292       1272.981         1.000
  293       1276.067         0.814
  294       1279.143         1.125
  295       1282.207         1.106
  296       1285.258         1.141
  297       1288.331         1.086
