# Bin     Bin Center     Bin Content
  1       45.250         0.000
  2       92.588         0.000
  3       96.762         0.000
  4       100.939         0.000
  5       105.120         0.000
  6       109.368         0.000
  7       113.618         0.000
  8       117.809         0.000
  9       122.004         0.000
  10       126.203         0.000
  11       130.406         0.000
  12       134.612         0.000
  13       138.821         0.000
  14       143.034         0.000
  15       147.249         0.000
  16       151.469         0.000
  17       155.692         0.951
  18       159.918         0.927
  19       164.208         0.937
  20       168.501         1.030
  21       172.737         1.086
  22       176.976         1.045
  23       181.218         0.952
  24       185.463         1.062
  25       189.712         1.042
  26       193.964         1.022
  27       198.218         1.122
  28       202.476         1.157
  29       206.737         1.029
  30       211.000         0.950
  31       215.266         0.963
  32       219.594         0.996
  33       223.925         0.985
  34       228.201         0.992
  35       232.479         1.011
  36       236.759         0.999
  37       241.042         1.026
  38       245.328         1.012
  39       249.616         1.037
  40       253.908         1.070
  41       258.202         1.076
  42       262.499         1.085
  43       266.798         1.014
  44       271.099         1.036
  45       275.461         1.088
  46       279.825         1.042
  47       284.134         1.051
  48       288.445         1.084
  49       292.759         1.083
  50       297.075         1.089
  51       301.393         1.079
  52       305.712         1.068
  53       310.034         1.076
  54       314.360         1.091
  55       318.687         1.110
  56       323.015         1.167
  57       327.402         1.171
  58       331.791         1.235
  59       336.125         1.143
  60       340.462         1.176
  61       344.799         1.303
  62       349.139         1.184
  63       353.482         1.149
  64       357.825         1.201
  65       362.170         1.183
  66       366.516         1.142
  67       370.864         1.228
  68       375.215         1.224
  69       379.633         1.205
  70       384.052         1.245
  71       388.406         1.188
  72       392.761         1.290
  73       397.117         1.314
  74       401.476         1.207
  75       405.836         1.248
  76       410.195         1.247
  77       414.556         1.208
  78       418.919         1.236
  79       423.283         1.297
  80       427.646         1.304
  81       432.066         1.323
  82       436.487         1.338
  83       440.855         1.364
  84       445.223         1.351
  85       449.591         1.369
  86       453.960         1.365
  87       458.331         1.365
  88       462.701         1.344
  89       467.072         1.402
  90       471.444         1.435
  91       475.816         1.447
  92       480.188         1.479
  93       484.624         1.503
  94       489.060         1.492
  95       493.432         1.525
  96       497.805         1.549
  97       502.178         1.567
  98       506.551         1.598
  99       510.924         1.592
  100       515.297         1.645
  101       519.670         1.584
  102       524.043         1.652
  103       528.416         1.677
  104       532.787         1.686
  105       537.220         1.669
  106       541.652         1.673
  107       546.022         1.778
  108       550.393         1.862
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         1.934
  112       567.866         1.935
  113       572.233         2.001
  114       576.598         1.998
  115       580.963         2.045
  116       585.326         2.099
  117       589.748         2.090
  118       594.169         2.175
  119       598.528         2.237
  120       602.886         2.250
  121       607.242         2.334
  122       611.599         2.178
  123       615.953         2.232
  124       620.306         2.249
  125       624.656         2.136
  126       629.005         1.770
  127       633.353         1.545
  128       637.699         1.479
  129       642.109         1.326
  130       646.518         1.176
  131       650.857         1.046
  132       655.195         0.984
  133       659.530         0.972
  134       663.863         0.929
  135       668.194         0.944
  136       672.522         0.914
  137       676.847         0.931
  138       681.171         0.910
  139       685.492         0.914
  140       689.810         0.952
  141       694.190         0.813
  142       698.568         0.817
  143       702.877         0.914
  144       707.183         0.950
  145       711.487         0.908
  146       715.787         0.923
  147       720.085         0.895
  148       724.378         0.902
  149       728.669         0.940
  150       732.956         0.939
  151       737.240         0.924
  152       741.521         0.930
  153       745.851         0.816
  154       750.177         0.879
  155       754.446         0.951
  156       758.712         0.946
  157       762.973         0.958
  158       767.231         0.984
  159       771.484         0.977
  160       775.734         0.000
  161       779.980         0.975
  162       784.220         0.957
  163       788.457         0.981
  164       792.689         1.027
  165       796.976         1.067
  166       801.258         1.013
  167       805.477         1.020
  168       809.691         1.020
  169       813.899         1.011
  170       818.102         0.998
  171       822.301         1.015
  172       826.495         0.962
  173       830.684         1.035
  174       834.867         0.973
  175       839.046         1.054
  176       843.268         1.059
  177       847.484         1.040
  178       851.646         1.038
  179       855.803         1.057
  180       859.954         1.091
  181       864.099         1.054
  182       868.237         1.061
  183       872.370         1.085
  184       876.498         1.080
  185       880.620         1.087
  186       884.736         1.069
  187       888.899         1.086
  188       893.056         1.038
  189       897.154         1.022
  190       901.244         0.971
  191       905.327         0.938
  192       909.403         0.937
  193       913.473         0.939
  194       917.536         0.934
  195       921.594         0.907
  196       925.643         0.914
  197       929.686         0.930
  198       933.775         0.919
  199       937.856         0.924
  200       941.877         0.873
  201       945.891         0.840
  202       949.898         0.885
  203       953.897         0.926
  204       957.890         0.882
  205       961.875         0.917
  206       965.852         0.919
  207       969.821         0.904
  208       973.782         0.946
  209       977.786         0.929
  210       981.782         0.909
  211       985.720         0.880
  212       989.648         0.886
  213       993.570         0.865
  214       997.482         0.869
  215       1001.387         0.938
  216       1005.284         0.951
  217       1009.173         0.954
  218       1013.053         0.942
  219       1016.924         0.950
  220       1020.833         0.931
  221       1024.735         0.980
  222       1028.581         0.949
  223       1032.417         0.961
  224       1036.243         0.966
  225       1040.061         0.884
  226       1043.871         0.939
  227       1047.670         0.923
  228       1051.460         0.973
  229       1055.243         0.962
  230       1059.062         0.924
  231       1062.870         0.928
  232       1066.623         0.909
  233       1070.367         0.923
  234       1074.101         0.904
  235       1077.825         0.906
  236       1081.541         0.953
  237       1085.246         0.926
  238       1088.941         0.951
  239       1092.627         0.977
  240       1096.340         0.994
  241       1100.042         0.966
  242       1103.698         0.980
  243       1107.344         0.969
  244       1110.979         0.942
  245       1114.604         1.002
  246       1118.219         0.886
  247       1121.823         0.950
  248       1125.417         0.962
  249       1129.001         0.993
  250       1132.615         0.944
  251       1136.219         0.924
  252       1139.771         0.941
  253       1143.311         0.917
  254       1146.842         0.968
  255       1150.362         0.958
  256       1153.871         0.000
  257       1157.369         0.948
  258       1160.856         0.981
  259       1164.366         0.953
  260       1167.865         0.931
  261       1171.318         1.038
  262       1174.762         1.012
  263       1178.194         0.979
  264       1181.615         0.970
  265       1185.025         1.062
  266       1188.424         1.008
  267       1191.812         0.934
  268       1195.224         0.990
  269       1198.626         1.031
  270       1201.979         0.989
  271       1205.321         1.063
  272       1208.652         0.992
  273       1211.970         1.027
  274       1215.277         0.996
  275       1218.574         1.040
  276       1221.859         0.990
  277       1225.168         1.025
  278       1228.464         1.048
  279       1231.712         1.051
  280       1234.951         1.089
  281       1238.178         1.091
  282       1241.392         0.957
  283       1244.596         0.900
  284       1247.788         1.096
  285       1250.967         1.043
  286       1254.176         0.800
  287       1257.373         0.682
  288       1260.518         1.082
  289       1263.651         1.107
  290       1266.772         1.107
  291       1269.882         1.095
  292       1272.981         1.041
  293       1276.067         1.080
  294       1279.143         1.110
  295       1282.207         1.052
  296       1285.258         1.113
  297       1288.331         1.042
