# Bin     Bin Center     Bin Content
  1       45.250         0.647
  2       92.588         0.730
  3       96.762         0.695
  4       100.939         0.640
  5       105.120         0.627
  6       109.368         0.607
  7       113.618         0.612
  8       117.809         0.573
  9       122.004         0.538
  10       126.203         0.550
  11       130.406         0.559
  12       134.612         0.605
  13       138.821         0.611
  14       143.034         0.581
  15       147.249         0.573
  16       151.469         0.566
  17       155.692         0.602
  18       159.918         0.653
  19       164.208         0.628
  20       168.501         0.622
  21       172.737         0.629
  22       176.976         0.595
  23       181.218         0.587
  24       185.463         0.667
  25       189.712         0.675
  26       193.964         0.643
  27       198.218         0.658
  28       202.476         0.654
  29       206.737         0.629
  30       211.000         0.610
  31       215.266         0.618
  32       219.594         0.608
  33       223.925         0.627
  34       228.201         0.633
  35       232.479         0.628
  36       236.759         0.629
  37       241.042         0.642
  38       245.328         0.645
  39       249.616         0.633
  40       253.908         0.647
  41       258.202         0.630
  42       262.499         0.632
  43       266.798         0.652
  44       271.099         0.671
  45       275.461         0.666
  46       279.825         0.667
  47       284.134         0.675
  48       288.445         0.717
  49       292.759         0.672
  50       297.075         0.688
  51       301.393         0.690
  52       305.712         0.683
  53       310.034         0.690
  54       314.360         0.697
  55       318.687         0.719
  56       323.015         0.709
  57       327.402         0.733
  58       331.791         0.726
  59       336.125         0.748
  60       340.462         0.738
  61       344.799         0.741
  62       349.139         0.731
  63       353.482         0.734
  64       357.825         0.747
  65       362.170         0.743
  66       366.516         0.764
  67       370.864         0.773
  68       375.215         0.777
  69       379.633         0.784
  70       384.052         0.805
  71       388.406         0.803
  72       392.761         0.815
  73       397.117         0.818
  74       401.476         0.844
  75       405.836         0.875
  76       410.195         0.813
  77       414.556         0.837
  78       418.919         0.849
  79       423.283         0.836
  80       427.646         0.838
  81       432.066         0.851
  82       436.487         0.838
  83       440.855         0.863
  84       445.223         0.883
  85       449.591         0.864
  86       453.960         0.885
  87       458.331         0.891
  88       462.701         0.890
  89       467.072         0.909
  90       471.444         0.937
  91       475.816         0.923
  92       480.188         0.959
  93       484.624         0.960
  94       489.060         0.955
  95       493.432         0.968
  96       497.805         1.009
  97       502.178         0.996
  98       506.551         1.006
  99       510.924         1.023
  100       515.297         1.071
  101       519.670         1.103
  102       524.043         1.098
  103       528.416         1.102
  104       532.787         1.112
  105       537.220         1.145
  106       541.652         1.150
  107       546.022         1.159
  108       550.393         1.156
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         1.246
  112       567.866         1.263
  113       572.233         1.305
  114       576.598         1.301
  115       580.963         1.344
  116       585.326         1.381
  117       589.748         1.389
  118       594.169         1.425
  119       598.528         1.430
  120       602.886         1.476
  121       607.242         1.461
  122       611.599         1.496
  123       615.953         1.512
  124       620.306         1.509
  125       624.656         1.431
  126       629.005         1.339
  127       633.353         1.208
  128       637.699         1.041
  129       642.109         0.859
  130       646.518         0.751
  131       650.857         0.664
  132       655.195         0.639
  133       659.530         0.607
  134       663.863         0.591
  135       668.194         0.596
  136       672.522         0.579
  137       676.847         0.596
  138       681.171         0.593
  139       685.492         0.600
  140       689.810         0.598
  141       694.190         0.654
  142       698.568         0.642
  143       702.877         0.607
  144       707.183         0.597
  145       711.487         0.607
  146       715.787         0.585
  147       720.085         0.583
  148       724.378         0.611
  149       728.669         0.618
  150       732.956         0.601
  151       737.240         0.599
  152       741.521         0.615
  153       745.851         0.636
  154       750.177         0.662
  155       754.446         0.645
  156       758.712         0.635
  157       762.973         0.604
  158       767.231         0.597
  159       771.484         0.629
  160       775.734         0.000
  161       779.980         0.607
  162       784.220         0.635
  163       788.457         0.633
  164       792.689         0.641
  165       796.976         0.655
  166       801.258         0.657
  167       805.477         0.631
  168       809.691         0.639
  169       813.899         0.663
  170       818.102         0.669
  171       822.301         0.644
  172       826.495         0.710
  173       830.684         0.653
  174       834.867         0.696
  175       839.046         0.656
  176       843.268         0.682
  177       847.484         0.681
  178       851.646         0.669
  179       855.803         0.684
  180       859.954         0.695
  181       864.099         0.707
  182       868.237         0.665
  183       872.370         0.725
  184       876.498         0.709
  185       880.620         0.708
  186       884.736         0.722
  187       888.899         0.688
  188       893.056         0.692
  189       897.154         0.685
  190       901.244         0.643
  191       905.327         0.626
  192       909.403         0.594
  193       913.473         0.594
  194       917.536         0.582
  195       921.594         0.602
  196       925.643         0.593
  197       929.686         0.598
  198       933.775         0.590
  199       937.856         0.600
  200       941.877         0.613
  201       945.891         0.622
  202       949.898         0.599
  203       953.897         0.615
  204       957.890         0.583
  205       961.875         0.591
  206       965.852         0.610
  207       969.821         0.645
  208       973.782         0.592
  209       977.786         0.633
  210       981.782         0.571
  211       985.720         0.641
  212       989.648         0.656
  213       993.570         0.653
  214       997.482         0.614
  215       1001.387         0.620
  216       1005.284         0.629
  217       1009.173         0.592
  218       1013.053         0.598
  219       1016.924         0.628
  220       1020.833         0.615
  221       1024.735         0.630
  222       1028.581         0.616
  223       1032.417         0.617
  224       1036.243         0.630
  225       1040.061         0.623
  226       1043.871         0.639
  227       1047.670         0.623
  228       1051.460         0.601
  229       1055.243         0.606
  230       1059.062         0.658
  231       1062.870         0.613
  232       1066.623         0.579
  233       1070.367         0.602
  234       1074.101         0.631
  235       1077.825         0.606
  236       1081.541         0.585
  237       1085.246         0.620
  238       1088.941         0.587
  239       1092.627         0.610
  240       1096.340         0.620
  241       1100.042         0.618
  242       1103.698         0.629
  243       1107.344         0.612
  244       1110.979         0.635
  245       1114.604         0.699
  246       1118.219         0.699
  247       1121.823         0.618
  248       1125.417         0.604
  249       1129.001         0.650
  250       1132.615         0.645
  251       1136.219         0.671
