# Bin     Bin Center     Bin Content
  1       45.250         0.000
  2       92.588         0.000
  3       96.762         0.000
  4       100.939         0.000
  5       105.120         0.000
  6       109.368         0.000
  7       113.618         0.000
  8       117.809         0.000
  9       122.004         0.000
  10       126.203         0.000
  11       130.406         0.000
  12       134.612         0.000
  13       138.821         0.000
  14       143.034         0.000
  15       147.249         0.000
  16       151.469         0.000
  17       155.692         0.830
  18       159.918         0.813
  19       164.208         0.815
  20       168.501         0.908
  21       172.737         0.975
  22       176.976         0.903
  23       181.218         0.839
  24       185.463         0.867
  25       189.712         0.853
  26       193.964         0.904
  27       198.218         0.967
  28       202.476         0.993
  29       206.737         0.918
  30       211.000         0.856
  31       215.266         0.872
  32       219.594         0.884
  33       223.925         0.868
  34       228.201         0.887
  35       232.479         0.888
  36       236.759         0.897
  37       241.042         0.922
  38       245.328         0.913
  39       249.616         0.931
  40       253.908         0.968
  41       258.202         0.960
  42       262.499         0.981
  43       266.798         0.926
  44       271.099         0.938
  45       275.461         0.970
  46       279.825         0.951
  47       284.134         0.946
  48       288.445         0.963
  49       292.759         0.954
  50       297.075         0.971
  51       301.393         0.967
  52       305.712         0.968
  53       310.034         0.974
  54       314.360         1.001
  55       318.687         1.007
  56       323.015         1.036
  57       327.402         1.043
  58       331.791         1.083
  59       336.125         1.045
  60       340.462         1.076
  61       344.799         1.142
  62       349.139         1.051
  63       353.482         1.038
  64       357.825         1.038
  65       362.170         1.039
  66       366.516         1.059
  67       370.864         1.088
  68       375.215         1.106
  69       379.633         1.092
  70       384.052         1.086
  71       388.406         1.073
  72       392.761         1.135
  73       397.117         1.140
  74       401.476         1.069
  75       405.836         1.098
  76       410.195         1.129
  77       414.556         1.147
  78       418.919         1.144
  79       423.283         1.156
  80       427.646         1.175
  81       432.066         1.195
  82       436.487         1.184
  83       440.855         1.225
  84       445.223         1.246
  85       449.591         1.234
  86       453.960         1.226
  87       458.331         1.243
  88       462.701         1.262
  89       467.072         1.272
  90       471.444         1.281
  91       475.816         1.286
  92       480.188         1.297
  93       484.624         1.323
  94       489.060         1.339
  95       493.432         1.366
  96       497.805         1.396
  97       502.178         1.385
  98       506.551         1.403
  99       510.924         1.445
  100       515.297         1.420
  101       519.670         1.418
  102       524.043         1.488
  103       528.416         1.518
  104       532.787         1.533
  105       537.220         1.496
  106       541.652         1.541
  107       546.022         1.631
  108       550.393         1.632
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         1.716
  112       567.866         1.699
  113       572.233         1.729
  114       576.598         1.820
  115       580.963         1.853
  116       585.326         1.888
  117       589.748         1.917
  118       594.169         1.945
  119       598.528         1.965
  120       602.886         2.029
  121       607.242         2.077
  122       611.599         2.053
  123       615.953         2.050
  124       620.306         2.062
  125       624.656         2.005
  126       629.005         1.663
  127       633.353         1.483
  128       637.699         1.483
  129       642.109         1.309
  130       646.518         1.131
  131       650.857         1.017
  132       655.195         0.935
  133       659.530         0.854
  134       663.863         0.839
  135       668.194         0.834
  136       672.522         0.848
  137       676.847         0.823
  138       681.171         0.830
  139       685.492         0.827
  140       689.810         0.848
  141       694.190         0.756
  142       698.568         0.718
  143       702.877         0.809
  144       707.183         0.849
  145       711.487         0.867
  146       715.787         0.808
  147       720.085         0.839
  148       724.378         0.863
  149       728.669         0.854
  150       732.956         0.874
  151       737.240         0.835
  152       741.521         0.839
  153       745.851         0.737
  154       750.177         0.732
  155       754.446         0.883
  156       758.712         0.854
  157       762.973         0.874
  158       767.231         0.868
  159       771.484         0.872
  160       775.734         0.000
  161       779.980         0.892
  162       784.220         0.890
  163       788.457         0.852
  164       792.689         0.887
  165       796.976         0.913
  166       801.258         0.899
  167       805.477         0.904
  168       809.691         0.915
  169       813.899         0.916
  170       818.102         0.893
  171       822.301         0.893
  172       826.495         0.863
  173       830.684         0.939
  174       834.867         0.859
  175       839.046         0.928
  176       843.268         0.920
  177       847.484         0.913
  178       851.646         0.938
  179       855.803         0.938
  180       859.954         0.976
  181       864.099         0.956
  182       868.237         0.976
  183       872.370         0.971
  184       876.498         0.970
  185       880.620         0.959
  186       884.736         0.978
  187       888.899         0.973
  188       893.056         0.973
  189       897.154         0.926
  190       901.244         0.919
  191       905.327         0.876
  192       909.403         0.852
  193       913.473         0.845
  194       917.536         0.840
  195       921.594         0.832
  196       925.643         0.847
  197       929.686         0.818
  198       933.775         0.801
  199       937.856         0.871
  200       941.877         0.755
  201       945.891         0.750
  202       949.898         0.797
  203       953.897         0.770
  204       957.890         0.833
  205       961.875         0.822
  206       965.852         0.805
  207       969.821         0.854
  208       973.782         0.814
  209       977.786         0.844
  210       981.782         0.835
  211       985.720         0.837
  212       989.648         0.806
  213       993.570         0.805
  214       997.482         0.817
  215       1001.387         0.844
  216       1005.284         0.862
  217       1009.173         0.845
  218       1013.053         0.857
  219       1016.924         0.860
  220       1020.833         0.844
  221       1024.735         0.842
  222       1028.581         0.880
  223       1032.417         0.868
  224       1036.243         0.865
  225       1040.061         0.810
  226       1043.871         0.808
  227       1047.670         0.848
  228       1051.460         0.920
  229       1055.243         0.872
  230       1059.062         0.802
  231       1062.870         0.775
  232       1066.623         0.842
  233       1070.367         0.859
  234       1074.101         0.822
  235       1077.825         0.821
  236       1081.541         0.831
  237       1085.246         0.850
  238       1088.941         0.876
  239       1092.627         0.861
  240       1096.340         0.835
  241       1100.042         0.882
  242       1103.698         0.872
  243       1107.344         0.896
  244       1110.979         0.881
  245       1114.604         0.794
  246       1118.219         0.861
  247       1121.823         0.874
  248       1125.417         0.876
  249       1129.001         0.890
  250       1132.615         0.865
  251       1136.219         0.824
  252       1139.771         0.832
  253       1143.311         0.799
  254       1146.842         0.896
  255       1150.362         0.870
  256       1153.871         0.000
  257       1157.369         0.857
  258       1160.856         0.877
  259       1164.366         0.895
  260       1167.865         0.876
  261       1171.318         0.873
  262       1174.762         0.933
  263       1178.194         0.937
  264       1181.615         0.914
  265       1185.025         0.939
  266       1188.424         0.858
  267       1191.812         0.881
  268       1195.224         0.930
  269       1198.626         0.957
  270       1201.979         0.925
  271       1205.321         0.939
  272       1208.652         0.922
  273       1211.970         0.899
  274       1215.277         0.910
  275       1218.574         0.951
  276       1221.859         0.991
  277       1225.168         0.895
  278       1228.464         0.922
  279       1231.712         0.902
  280       1234.951         0.964
  281       1238.178         1.016
  282       1241.392         0.720
  283       1244.596         0.743
  284       1247.788         0.879
  285       1250.967         0.957
  286       1254.176         0.755
  287       1257.373         1.094
  288       1260.518         0.963
  289       1263.651         0.980
  290       1266.772         0.971
  291       1269.882         1.002
  292       1272.981         0.685
  293       1276.067         0.723
  294       1279.143         0.982
  295       1282.207         0.931
  296       1285.258         0.930
  297       1288.331         1.103
