# Bin     Bin Center     Bin Content
  1       45.250         0.000
  2       92.588         0.000
  3       96.762         0.000
  4       100.939         0.000
  5       105.120         0.000
  6       109.368         0.000
  7       113.618         0.000
  8       117.809         0.000
  9       122.004         0.000
  10       126.203         0.000
  11       130.406         0.000
  12       134.612         0.000
  13       138.821         0.000
  14       143.034         0.000
  15       147.249         0.000
  16       151.469         0.000
  17       155.692         0.724
  18       159.918         0.682
  19       164.208         0.678
  20       168.501         0.809
  21       172.737         0.851
  22       176.976         0.818
  23       181.218         0.734
  24       185.463         0.761
  25       189.712         0.757
  26       193.964         0.787
  27       198.218         0.863
  28       202.476         0.914
  29       206.737         0.808
  30       211.000         0.752
  31       215.266         0.767
  32       219.594         0.760
  33       223.925         0.758
  34       228.201         0.771
  35       232.479         0.808
  36       236.759         0.801
  37       241.042         0.804
  38       245.328         0.788
  39       249.616         0.829
  40       253.908         0.848
  41       258.202         0.841
  42       262.499         0.847
  43       266.798         0.804
  44       271.099         0.814
  45       275.461         0.840
  46       279.825         0.823
  47       284.134         0.830
  48       288.445         0.835
  49       292.759         0.812
  50       297.075         0.857
  51       301.393         0.845
  52       305.712         0.839
  53       310.034         0.848
  54       314.360         0.870
  55       318.687         0.881
  56       323.015         0.901
  57       327.402         0.909
  58       331.791         0.935
  59       336.125         0.911
  60       340.462         0.971
  61       344.799         0.995
  62       349.139         0.919
  63       353.482         0.886
  64       357.825         0.933
  65       362.170         0.931
  66       366.516         0.916
  67       370.864         0.933
  68       375.215         0.965
  69       379.633         0.920
  70       384.052         0.912
  71       388.406         0.914
  72       392.761         0.951
  73       397.117         0.991
  74       401.476         0.918
  75       405.836         0.930
  76       410.195         0.983
  77       414.556         0.973
  78       418.919         0.986
  79       423.283         0.997
  80       427.646         1.011
  81       432.066         1.009
  82       436.487         1.033
  83       440.855         1.060
  84       445.223         1.071
  85       449.591         1.059
  86       453.960         1.077
  87       458.331         1.076
  88       462.701         1.108
  89       467.072         1.088
  90       471.444         1.118
  91       475.816         1.119
  92       480.188         1.145
  93       484.624         1.145
  94       489.060         1.152
  95       493.432         1.190
  96       497.805         1.198
  97       502.178         1.194
  98       506.551         1.227
  99       510.924         1.254
  100       515.297         1.186
  101       519.670         1.215
  102       524.043         1.248
  103       528.416         1.300
  104       532.787         1.334
  105       537.220         1.285
  106       541.652         1.272
  107       546.022         1.389
  108       550.393         1.421
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         1.482
  112       567.866         1.468
  113       572.233         1.504
  114       576.598         1.559
  115       580.963         1.570
  116       585.326         1.616
  117       589.748         1.657
  118       594.169         1.675
  119       598.528         1.702
  120       602.886         1.743
  121       607.242         1.789
  122       611.599         1.757
  123       615.953         1.776
  124       620.306         1.776
  125       624.656         1.740
  126       629.005         1.541
  127       633.353         1.427
  128       637.699         1.315
  129       642.109         1.111
  130       646.518         0.951
  131       650.857         0.859
  132       655.195         0.806
  133       659.530         0.751
  134       663.863         0.732
  135       668.194         0.742
  136       672.522         0.726
  137       676.847         0.715
  138       681.171         0.736
  139       685.492         0.724
  140       689.810         0.739
  141       694.190         0.639
  142       698.568         0.635
  143       702.877         0.733
  144       707.183         0.737
  145       711.487         0.758
  146       715.787         0.730
  147       720.085         0.714
  148       724.378         0.721
  149       728.669         0.733
  150       732.956         0.730
  151       737.240         0.713
  152       741.521         0.735
  153       745.851         0.587
  154       750.177         0.620
  155       754.446         0.763
  156       758.712         0.765
  157       762.973         0.740
  158       767.231         0.760
  159       771.484         0.769
  160       775.734         0.000
  161       779.980         0.778
  162       784.220         0.735
  163       788.457         0.733
  164       792.689         0.773
  165       796.976         0.764
  166       801.258         0.772
  167       805.477         0.778
  168       809.691         0.771
  169       813.899         0.775
  170       818.102         0.786
  171       822.301         0.797
  172       826.495         0.735
  173       830.684         0.783
  174       834.867         0.717
  175       839.046         0.836
  176       843.268         0.801
  177       847.484         0.821
  178       851.646         0.815
  179       855.803         0.810
  180       859.954         0.783
  181       864.099         0.837
  182       868.237         0.834
  183       872.370         0.848
  184       876.498         0.842
  185       880.620         0.852
  186       884.736         0.856
  187       888.899         0.867
  188       893.056         0.863
  189       897.154         0.837
  190       901.244         0.789
  191       905.327         0.765
  192       909.403         0.758
  193       913.473         0.747
  194       917.536         0.714
  195       921.594         0.704
  196       925.643         0.694
  197       929.686         0.714
  198       933.775         0.743
  199       937.856         0.757
  200       941.877         0.645
  201       945.891         0.641
  202       949.898         0.714
  203       953.897         0.703
  204       957.890         0.737
  205       961.875         0.734
  206       965.852         0.711
  207       969.821         0.724
  208       973.782         0.724
  209       977.786         0.733
  210       981.782         0.732
  211       985.720         0.681
  212       989.648         0.656
  213       993.570         0.690
  214       997.482         0.680
  215       1001.387         0.755
  216       1005.284         0.743
  217       1009.173         0.733
  218       1013.053         0.763
  219       1016.924         0.752
  220       1020.833         0.762
  221       1024.735         0.761
  222       1028.581         0.754
  223       1032.417         0.766
  224       1036.243         0.769
  225       1040.061         0.713
  226       1043.871         0.747
  227       1047.670         0.748
  228       1051.460         0.805
  229       1055.243         0.769
  230       1059.062         0.735
  231       1062.870         0.725
  232       1066.623         0.743
  233       1070.367         0.757
  234       1074.101         0.726
  235       1077.825         0.698
  236       1081.541         0.782
  237       1085.246         0.782
  238       1088.941         0.759
  239       1092.627         0.761
  240       1096.340         0.751
  241       1100.042         0.756
  242       1103.698         0.774
  243       1107.344         0.769
  244       1110.979         0.774
  245       1114.604         0.734
  246       1118.219         0.742
  247       1121.823         0.786
  248       1125.417         0.794
  249       1129.001         0.772
  250       1132.615         0.751
  251       1136.219         0.731
  252       1139.771         0.720
  253       1143.311         0.737
  254       1146.842         0.785
  255       1150.362         0.754
  256       1153.871         0.000
  257       1157.369         0.782
  258       1160.856         0.783
  259       1164.366         0.796
  260       1167.865         0.729
  261       1171.318         0.752
  262       1174.762         0.792
  263       1178.194         0.748
  264       1181.615         0.785
  265       1185.025         0.772
  266       1188.424         0.773
  267       1191.812         0.778
  268       1195.224         0.775
  269       1198.626         0.825
  270       1201.979         0.830
  271       1205.321         0.790
  272       1208.652         0.817
  273       1211.970         0.815
  274       1215.277         0.828
  275       1218.574         0.787
  276       1221.859         0.803
  277       1225.168         0.780
  278       1228.464         0.804
  279       1231.712         0.844
  280       1234.951         0.903
  281       1238.178         0.911
  282       1241.392         0.618
  283       1244.596         0.613
  284       1247.788         0.838
  285       1250.967         0.855
  286       1254.176         0.749
  287       1257.373         0.738
  288       1260.518         0.886
  289       1263.651         0.879
  290       1266.772         0.851
  291       1269.882         0.910
  292       1272.981         0.458
  293       1276.067         0.596
  294       1279.143         0.890
  295       1282.207         0.903
  296       1285.258         0.848
  297       1288.331         0.863
