# Bin     Bin Center     Bin Content
  1       45.250         0.000
  2       92.588         0.000
  3       96.762         0.000
  4       100.939         0.000
  5       105.120         0.000
  6       109.368         0.000
  7       113.618         0.000
  8       117.809         0.000
  9       122.004         0.000
  10       126.203         0.000
  11       130.406         0.000
  12       134.612         0.000
  13       138.821         0.000
  14       143.034         0.000
  15       147.249         0.000
  16       151.469         0.000
  17       155.692         0.417
  18       159.918         0.372
  19       164.208         0.405
  20       168.501         0.387
  21       172.737         0.358
  22       176.976         0.413
  23       181.218         0.444
  24       185.463         0.338
  25       189.712         0.332
  26       193.964         0.387
  27       198.218         0.346
  28       202.476         0.384
  29       206.737         0.433
  30       211.000         0.455
  31       215.266         0.451
  32       219.594         0.446
  33       223.925         0.449
  34       228.201         0.445
  35       232.479         0.445
  36       236.759         0.448
  37       241.042         0.443
  38       245.328         0.446
  39       249.616         0.440
  40       253.908         0.430
  41       258.202         0.436
  42       262.499         0.440
  43       266.798         0.451
  44       271.099         0.448
  45       275.461         0.443
  46       279.825         0.453
  47       284.134         0.461
  48       288.445         0.391
  49       292.759         0.389
  50       297.075         0.437
  51       301.393         0.459
  52       305.712         0.461
  53       310.034         0.460
  54       314.360         0.455
  55       318.687         0.452
  56       323.015         0.444
  57       327.402         0.445
  58       331.791         0.421
  59       336.125         0.447
  60       340.462         0.421
  61       344.799         0.392
  62       349.139         0.451
  63       353.482         0.463
  64       357.825         0.465
  65       362.170         0.463
  66       366.516         0.462
  67       370.864         0.454
  68       375.215         0.450
  69       379.633         0.448
  70       384.052         0.451
  71       388.406         0.445
  72       392.761         0.416
  73       397.117         0.446
  74       401.476         0.459
  75       405.836         0.455
  76       410.195         0.465
  77       414.556         0.464
  78       418.919         0.461
  79       423.283         0.468
  80       427.646         0.467
  81       432.066         0.469
  82       436.487         0.467
  83       440.855         0.465
  84       445.223         0.460
  85       449.591         0.467
  86       453.960         0.471
  87       458.331         0.471
  88       462.701         0.460
  89       467.072         0.463
  90       471.444         0.469
  91       475.816         0.472
  92       480.188         0.470
  93       484.624         0.475
  94       489.060         0.474
  95       493.432         0.469
  96       497.805         0.466
  97       502.178         0.474
  98       506.551         0.470
  99       510.924         0.471
  100       515.297         0.472
  101       519.670         0.467
  102       524.043         0.469
  103       528.416         0.468
  104       532.787         0.468
  105       537.220         0.455
  106       541.652         0.449
  107       546.022         0.467
  108       550.393         0.467
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         0.468
  112       567.866         0.469
  113       572.233         0.475
  114       576.598         0.468
  115       580.963         0.470
  116       585.326         0.469
  117       589.748         0.472
  118       594.169         0.471
  119       598.528         0.475
  120       602.886         0.470
  121       607.242         0.469
  122       611.599         0.454
  123       615.953         0.466
  124       620.306         0.476
  125       624.656         0.475
  126       629.005         0.466
  127       633.353         0.459
  128       637.699         0.459
  129       642.109         0.464
  130       646.518         0.476
  131       650.857         0.481
  132       655.195         0.443
  133       659.530         0.455
  134       663.863         0.477
  135       668.194         0.481
  136       672.522         0.477
  137       676.847         0.478
  138       681.171         0.477
  139       685.492         0.483
  140       689.810         0.477
  141       694.190         0.455
  142       698.568         0.465
  143       702.877         0.462
  144       707.183         0.465
  145       711.487         0.465
  146       715.787         0.483
  147       720.085         0.472
  148       724.378         0.463
  149       728.669         0.474
  150       732.956         0.472
  151       737.240         0.468
  152       741.521         0.471
  153       745.851         0.440
  154       750.177         0.464
  155       754.446         0.471
  156       758.712         0.479
  157       762.973         0.473
  158       767.231         0.482
  159       771.484         0.484
  160       775.734         0.000
  161       779.980         0.470
  162       784.220         0.462
  163       788.457         0.488
  164       792.689         0.484
  165       796.976         0.423
  166       801.258         0.478
  167       805.477         0.480
  168       809.691         0.480
  169       813.899         0.479
  170       818.102         0.482
  171       822.301         0.485
  172       826.495         0.460
  173       830.684         0.475
  174       834.867         0.455
  175       839.046         0.483
  176       843.268         0.483
  177       847.484         0.482
  178       851.646         0.488
  179       855.803         0.488
  180       859.954         0.477
  181       864.099         0.477
  182       868.237         0.480
  183       872.370         0.478
  184       876.498         0.481
  185       880.620         0.483
  186       884.736         0.481
  187       888.899         0.482
  188       893.056         0.486
  189       897.154         0.491
  190       901.244         0.480
  191       905.327         0.484
  192       909.403         0.480
  193       913.473         0.481
  194       917.536         0.479
  195       921.594         0.479
  196       925.643         0.479
  197       929.686         0.482
  198       933.775         0.464
  199       937.856         0.439
  200       941.877         0.483
  201       945.891         0.481
  202       949.898         0.479
  203       953.897         0.480
  204       957.890         0.486
  205       961.875         0.479
  206       965.852         0.481
  207       969.821         0.477
  208       973.782         0.488
  209       977.786         0.487
  210       981.782         0.490
  211       985.720         0.450
  212       989.648         0.465
  213       993.570         0.447
  214       997.482         0.460
  215       1001.387         0.488
  216       1005.284         0.494
  217       1009.173         0.489
  218       1013.053         0.484
  219       1016.924         0.487
  220       1020.833         0.486
  221       1024.735         0.494
  222       1028.581         0.489
  223       1032.417         0.486
  224       1036.243         0.489
  225       1040.061         0.489
  226       1043.871         0.487
  227       1047.670         0.489
  228       1051.460         0.468
  229       1055.243         0.477
  230       1059.062         0.470
  231       1062.870         0.480
  232       1066.623         0.484
  233       1070.367         0.464
  234       1074.101         0.471
  235       1077.825         0.493
  236       1081.541         0.481
  237       1085.246         0.486
  238       1088.941         0.491
  239       1092.627         0.493
  240       1096.340         0.500
  241       1100.042         0.479
  242       1103.698         0.489
  243       1107.344         0.485
  244       1110.979         0.490
  245       1114.604         0.489
  246       1118.219         0.450
  247       1121.823         0.479
  248       1125.417         0.493
  249       1129.001         0.481
  250       1132.615         0.488
  251       1136.219         0.480
  252       1139.771         0.490
  253       1143.311         0.488
  254       1146.842         0.488
  255       1150.362         0.491
  256       1153.871         0.000
  257       1157.369         0.499
  258       1160.856         0.499
  259       1164.366         0.485
  260       1167.865         0.484
  261       1171.318         0.485
  262       1174.762         0.491
  263       1178.194         0.489
  264       1181.615         0.496
  265       1185.025         0.488
  266       1188.424         0.496
  267       1191.812         0.492
  268       1195.224         0.492
  269       1198.626         0.491
  270       1201.979         0.492
  271       1205.321         0.487
  272       1208.652         0.493
  273       1211.970         0.485
  274       1215.277         0.499
  275       1218.574         0.497
  276       1221.859         0.480
  277       1225.168         0.493
  278       1228.464         0.491
  279       1231.712         0.491
  280       1234.951         0.485
  281       1238.178         0.487
  282       1241.392         0.502
  283       1244.596         0.474
  284       1247.788         0.498
  285       1250.967         0.492
  286       1254.176         0.437
  287       1257.373         0.289
  288       1260.518         0.469
  289       1263.651         0.490
  290       1266.772         0.491
  291       1269.882         0.468
  292       1272.981         0.352
  293       1276.067         0.397
  294       1279.143         0.488
  295       1282.207         0.497
  296       1285.258         0.490
  297       1288.331         0.418
