# Bin     Bin Center     Bin Content
  1       45.250         -0.000
  2       92.588         -0.000
  3       96.762         -0.000
  4       100.939         -0.000
  5       105.120         -0.000
  6       109.368         -0.000
  7       113.618         -0.000
  8       117.809         -0.000
  9       122.004         -0.000
  10       126.203         -0.000
  11       130.406         -0.000
  12       134.612         -0.000
  13       138.821         -0.000
  14       143.034         -0.000
  15       147.249         -0.000
  16       151.469         -0.000
  17       155.692         0.381
  18       159.918         0.357
  19       164.208         0.379
  20       168.501         0.371
  21       172.737         0.352
  22       176.976         0.386
  23       181.218         0.404
  24       185.463         0.331
  25       189.712         0.329
  26       193.964         0.377
  27       198.218         0.343
  28       202.476         0.364
  29       206.737         0.408
  30       211.000         0.424
  31       215.266         0.425
  32       219.594         0.424
  33       223.925         0.423
  34       228.201         0.426
  35       232.479         0.428
  36       236.759         0.432
  37       241.042         0.432
  38       245.328         0.434
  39       249.616         0.429
  40       253.908         0.424
  41       258.202         0.434
  42       262.499         0.443
  43       266.798         0.444
  44       271.099         0.447
  45       275.461         0.446
  46       279.825         0.451
  47       284.134         0.450
  48       288.445         0.423
  49       292.759         0.413
  50       297.075         0.444
  51       301.393         0.461
  52       305.712         0.465
  53       310.034         0.465
  54       314.360         0.464
  55       318.687         0.463
  56       323.015         0.453
  57       327.402         0.457
  58       331.791         0.448
  59       336.125         0.467
  60       340.462         0.460
  61       344.799         0.464
  62       349.139         0.472
  63       353.482         0.478
  64       357.825         0.480
  65       362.170         0.483
  66       366.516         0.491
  67       370.864         0.479
  68       375.215         0.481
  69       379.633         0.484
  70       384.052         0.493
  71       388.406         0.476
  72       392.761         0.451
  73       397.117         0.481
  74       401.476         0.495
  75       405.836         0.494
  76       410.195         0.508
  77       414.556         0.508
  78       418.919         0.510
  79       423.283         0.511
  80       427.646         0.516
  81       432.066         0.514
  82       436.487         0.519
  83       440.855         0.518
  84       445.223         0.518
  85       449.591         0.526
  86       453.960         0.528
  87       458.331         0.522
  88       462.701         0.529
  89       467.072         0.535
  90       471.444         0.538
  91       475.816         0.538
  92       480.188         0.535
  93       484.624         0.537
  94       489.060         0.545
  95       493.432         0.548
  96       497.805         0.549
  97       502.178         0.550
  98       506.551         0.553
  99       510.924         0.563
  100       515.297         0.563
  101       519.670         0.557
  102       524.043         0.563
  103       528.416         0.569
  104       532.787         0.571
  105       537.220         0.563
  106       541.652         0.566
  107       546.022         0.588
  108       550.393         0.584
  109       554.763         -0.000
  110       559.132         -0.000
  111       563.499         0.596
  112       567.866         0.603
  113       572.233         0.599
  114       576.598         0.605
  115       580.963         0.598
  116       585.326         0.610
  117       589.748         0.619
  118       594.169         0.623
  119       598.528         0.630
  120       602.886         0.634
  121       607.242         0.639
  122       611.599         0.639
  123       615.953         0.648
  124       620.306         0.652
  125       624.656         0.648
  126       629.005         0.605
  127       633.353         0.585
  128       637.699         0.569
  129       642.109         0.528
  130       646.518         0.503
  131       650.857         0.484
  132       655.195         0.474
  133       659.530         0.452
  134       663.863         0.464
  135       668.194         0.465
  136       672.522         0.466
  137       676.847         0.475
  138       681.171         0.468
  139       685.492         0.466
  140       689.810         0.471
  141       694.190         0.458
  142       698.568         0.465
  143       702.877         0.474
  144       707.183         0.470
  145       711.487         0.491
  146       715.787         0.478
  147       720.085         0.468
  148       724.378         0.474
  149       728.669         0.477
  150       732.956         0.477
  151       737.240         0.477
  152       741.521         0.467
  153       745.851         0.448
  154       750.177         0.463
  155       754.446         0.471
  156       758.712         0.484
  157       762.973         0.476
  158       767.231         0.473
  159       771.484         0.484
  160       775.734         -0.000
  161       779.980         0.492
  162       784.220         0.489
  163       788.457         0.483
  164       792.689         0.488
  165       796.976         0.455
  166       801.258         0.476
  167       805.477         0.489
  168       809.691         0.480
  169       813.899         0.485
  170       818.102         0.484
  171       822.301         0.484
  172       826.495         0.482
  173       830.684         0.498
  174       834.867         0.490
  175       839.046         0.495
  176       843.268         0.499
  177       847.484         0.500
  178       851.646         0.505
  179       855.803         0.503
  180       859.954         0.502
  181       864.099         0.505
  182       868.237         0.517
  183       872.370         0.512
  184       876.498         0.502
  185       880.620         0.517
  186       884.736         0.519
  187       888.899         0.522
  188       893.056         0.514
  189       897.154         0.506
  190       901.244         0.503
  191       905.327         0.491
  192       909.403         0.487
  193       913.473         0.486
  194       917.536         0.468
  195       921.594         0.480
  196       925.643         0.476
  197       929.686         0.474
  198       933.775         0.468
  199       937.856         0.458
  200       941.877         0.477
  201       945.891         0.473
  202       949.898         0.471
  203       953.897         0.472
  204       957.890         0.474
  205       961.875         0.478
  206       965.852         0.478
  207       969.821         0.471
  208       973.782         0.480
  209       977.786         0.482
  210       981.782         0.475
  211       985.720         0.477
  212       989.648         0.500
  213       993.570         0.463
  214       997.482         0.478
  215       1001.387         0.493
  216       1005.284         0.489
  217       1009.173         0.483
  218       1013.053         0.492
  219       1016.924         0.503
  220       1020.833         0.489
  221       1024.735         0.491
  222       1028.581         0.494
  223       1032.417         0.501
  224       1036.243         0.489
  225       1040.061         0.486
  226       1043.871         0.486
  227       1047.670         0.493
  228       1051.460         0.477
  229       1055.243         0.489
  230       1059.062         0.476
  231       1062.870         0.468
  232       1066.623         0.481
  233       1070.367         0.478
  234       1074.101         0.485
  235       1077.825         0.489
  236       1081.541         0.493
  237       1085.246         0.497
  238       1088.941         0.498
  239       1092.627         0.504
  240       1096.340         0.499
  241       1100.042         0.495
  242       1103.698         0.499
  243       1107.344         0.495
  244       1110.979         0.499
  245       1114.604         0.486
  246       1118.219         0.488
  247       1121.823         0.490
  248       1125.417         0.506
  249       1129.001         0.495
  250       1132.615         0.498
  251       1136.219         0.483
  252       1139.771         0.483
  253       1143.311         0.498
  254       1146.842         0.502
  255       1150.362         0.508
  256       1153.871         0.000
  257       1157.369         0.493
  258       1160.856         0.493
  259       1164.366         0.500
  260       1167.865         0.501
  261       1171.318         0.497
  262       1174.762         0.497
  263       1178.194         0.496
  264       1181.615         0.503
  265       1185.025         0.490
  266       1188.424         0.507
  267       1191.812         0.502
  268       1195.224         0.490
  269       1198.626         0.517
  270       1201.979         0.517
  271       1205.321         0.492
  272       1208.652         0.515
  273       1211.970         0.505
  274       1215.277         0.512
  275       1218.574         0.509
  276       1221.859         0.500
  277       1225.168         0.510
  278       1228.464         0.511
  279       1231.712         0.518
  280       1234.951         0.517
  281       1238.178         0.508
  282       1241.392         0.507
  283       1244.596         0.476
  284       1247.788         0.510
  285       1250.967         0.519
  286       1254.176         0.518
  287       1257.373         0.634
  288       1260.518         0.507
  289       1263.651         0.529
  290       1266.772         0.510
  291       1269.882         0.500
  292       1272.981         0.484
  293       1276.067         0.485
  294       1279.143         0.531
  295       1282.207         0.513
  296       1285.258         0.511
