# Bin     Bin Center     Bin Content
  1       45.250         -0.000
  2       92.588         -0.000
  3       96.762         -0.000
  4       100.939         -0.000
  5       105.120         -0.000
  6       109.368         -0.000
  7       113.618         -0.000
  8       117.809         -0.000
  9       122.004         -0.000
  10       126.203         -0.000
  11       130.406         -0.000
  12       134.612         -0.000
  13       138.821         -0.000
  14       143.034         -0.000
  15       147.249         -0.000
  16       151.469         -0.000
  17       155.692         0.422
  18       159.918         0.386
  19       164.208         0.408
  20       168.501         0.393
  21       172.737         0.376
  22       176.976         0.410
  23       181.218         0.438
  24       185.463         0.366
  25       189.712         0.382
  26       193.964         0.400
  27       198.218         0.371
  28       202.476         0.385
  29       206.737         0.436
  30       211.000         0.454
  31       215.266         0.451
  32       219.594         0.438
  33       223.925         0.440
  34       228.201         0.440
  35       232.479         0.446
  36       236.759         0.445
  37       241.042         0.440
  38       245.328         0.447
  39       249.616         0.441
  40       253.908         0.430
  41       258.202         0.437
  42       262.499         0.444
  43       266.798         0.454
  44       271.099         0.449
  45       275.461         0.446
  46       279.825         0.451
  47       284.134         0.459
  48       288.445         0.412
  49       292.759         0.442
  50       297.075         0.446
  51       301.393         0.455
  52       305.712         0.461
  53       310.034         0.464
  54       314.360         0.467
  55       318.687         0.454
  56       323.015         0.448
  57       327.402         0.450
  58       331.791         0.439
  59       336.125         0.465
  60       340.462         0.445
  61       344.799         0.429
  62       349.139         0.458
  63       353.482         0.464
  64       357.825         0.457
  65       362.170         0.463
  66       366.516         0.474
  67       370.864         0.454
  68       375.215         0.470
  69       379.633         0.452
  70       384.052         0.455
  71       388.406         0.460
  72       392.761         0.437
  73       397.117         0.452
  74       401.476         0.461
  75       405.836         0.462
  76       410.195         0.471
  77       414.556         0.467
  78       418.919         0.471
  79       423.283         0.470
  80       427.646         0.476
  81       432.066         0.469
  82       436.487         0.471
  83       440.855         0.474
  84       445.223         0.461
  85       449.591         0.465
  86       453.960         0.472
  87       458.331         0.476
  88       462.701         0.475
  89       467.072         0.467
  90       471.444         0.470
  91       475.816         0.471
  92       480.188         0.465
  93       484.624         0.468
  94       489.060         0.468
  95       493.432         0.473
  96       497.805         0.483
  97       502.178         0.470
  98       506.551         0.471
  99       510.924         0.470
  100       515.297         0.478
  101       519.670         0.478
  102       524.043         0.480
  103       528.416         0.488
  104       532.787         0.488
  105       537.220         0.470
  106       541.652         0.510
  107       546.022         0.485
  108       550.393         0.473
  109       554.763         -0.000
  110       559.132         -0.000
  111       563.499         0.482
  112       567.866         0.479
  113       572.233         0.478
  114       576.598         0.484
  115       580.963         0.490
  116       585.326         0.479
  117       589.748         0.486
  118       594.169         0.483
  119       598.528         0.483
  120       602.886         0.481
  121       607.242         0.479
  122       611.599         0.512
  123       615.953         0.482
  124       620.306         0.481
  125       624.656         0.490
  126       629.005         0.521
  127       633.353         0.494
  128       637.699         0.515
  129       642.109         0.476
  130       646.518         0.485
  131       650.857         0.485
  132       655.195         0.491
  133       659.530         0.454
  134       663.863         0.472
  135       668.194         0.472
  136       672.522         0.473
  137       676.847         0.483
  138       681.171         0.486
  139       685.492         0.494
  140       689.810         0.481
  141       694.190         0.483
  142       698.568         0.483
  143       702.877         0.500
  144       707.183         0.515
  145       711.487         0.526
  146       715.787         0.494
  147       720.085         0.506
  148       724.378         0.491
  149       728.669         0.479
  150       732.956         0.491
  151       737.240         0.484
  152       741.521         0.487
  153       745.851         0.497
  154       750.177         0.480
  155       754.446         0.484
  156       758.712         0.498
  157       762.973         0.493
  158       767.231         0.488
  159       771.484         0.490
  160       775.734         -0.000
  161       779.980         0.506
  162       784.220         0.514
  163       788.457         0.486
  164       792.689         0.490
  165       796.976         0.414
  166       801.258         0.487
  167       805.477         0.499
  168       809.691         0.496
  169       813.899         0.488
  170       818.102         0.501
  171       822.301         0.493
  172       826.495         0.546
  173       830.684         0.490
  174       834.867         0.517
  175       839.046         0.497
  176       843.268         0.505
  177       847.484         0.494
  178       851.646         0.490
  179       855.803         0.492
  180       859.954         0.483
  181       864.099         0.504
  182       868.237         0.500
  183       872.370         0.494
  184       876.498         0.498
  185       880.620         0.488
  186       884.736         0.493
  187       888.899         0.485
  188       893.056         0.502
  189       897.154         0.491
  190       901.244         0.515
  191       905.327         0.495
  192       909.403         0.498
  193       913.473         0.502
  194       917.536         0.503
  195       921.594         0.504
  196       925.643         0.493
  197       929.686         0.489
  198       933.775         0.646
  199       937.856         0.580
  200       941.877         0.507
  201       945.891         0.499
  202       949.898         0.506
  203       953.897         0.490
  204       957.890         0.506
  205       961.875         0.514
  206       965.852         0.502
  207       969.821         0.504
  208       973.782         0.502
  209       977.786         0.502
  210       981.782         0.509
  211       985.720         0.517
  212       989.648         0.534
  213       993.570         0.575
  214       997.482         0.542
  215       1001.387         0.509
  216       1005.284         0.500
  217       1009.173         0.502
  218       1013.053         0.511
  219       1016.924         0.502
  220       1020.833         0.508
  221       1024.735         0.514
  222       1028.581         0.507
  223       1032.417         0.510
  224       1036.243         0.522
  225       1040.061         0.531
  226       1043.871         0.530
  227       1047.670         0.537
  228       1051.460         0.549
  229       1055.243         0.527
  230       1059.062         0.578
  231       1062.870         0.551
  232       1066.623         0.516
  233       1070.367         0.569
  234       1074.101         0.576
  235       1077.825         0.510
  236       1081.541         0.533
  237       1085.246         0.523
  238       1088.941         0.504
  239       1092.627         0.498
  240       1096.340         0.495
  241       1100.042         0.513
  242       1103.698         0.510
  243       1107.344         0.503
  244       1110.979         0.514
  245       1114.604         0.550
  246       1118.219         0.661
  247       1121.823         0.553
  248       1125.417         0.518
  249       1129.001         0.516
  250       1132.615         0.604
  251       1136.219         0.568
  252       1139.771         0.535
  253       1143.311         0.535
  254       1146.842         0.518
  255       1150.362         0.528
  256       1153.871         0.000
  257       1157.369         0.537
  258       1160.856         0.522
  259       1164.366         0.536
  260       1167.865         0.551
  261       1171.318         0.495
  262       1174.762         0.509
  263       1178.194         0.521
  264       1181.615         0.515
  265       1185.025         0.508
  266       1188.424         0.517
  267       1191.812         0.539
  268       1195.224         0.550
  269       1198.626         0.520
  270       1201.979         0.526
  271       1205.321         0.519
  272       1208.652         0.507
  273       1211.970         0.521
  274       1215.277         0.520
  275       1218.574         0.519
  276       1221.859         0.561
  277       1225.168         0.513
  278       1228.464         0.539
  279       1231.712         0.537
  280       1234.951         0.516
  281       1238.178         0.534
  282       1241.392         0.576
  283       1244.596         0.649
  284       1247.788         0.582
  285       1250.967         0.511
  286       1254.176         -0.679
  287       1257.373         -0.129
  288       1260.518         0.606
  289       1263.651         0.558
  290       1266.772         0.569
  291       1269.882         0.586
  292       1272.981         -0.182
  293       1276.067         -0.197
  294       1279.143         0.570
  295       1282.207         0.626
  296       1285.258         0.617
