# Bin     Bin Center     Bin Content
  1       45.250         -0.000
  2       92.588         -0.000
  3       96.762         -0.000
  4       100.939         -0.000
  5       105.120         -0.000
  6       109.368         -0.000
  7       113.618         -0.000
  8       117.809         -0.000
  9       122.004         -0.000
  10       126.203         -0.000
  11       130.406         -0.000
  12       134.612         -0.000
  13       138.821         -0.000
  14       143.034         -0.000
  15       147.249         -0.000
  16       151.469         -0.000
  17       155.692         0.367
  18       159.918         0.335
  19       164.208         0.363
  20       168.501         0.348
  21       172.737         0.334
  22       176.976         0.370
  23       181.218         0.391
  24       185.463         0.315
  25       189.712         0.321
  26       193.964         0.356
  27       198.218         0.329
  28       202.476         0.350
  29       206.737         0.389
  30       211.000         0.405
  31       215.266         0.405
  32       219.594         0.406
  33       223.925         0.404
  34       228.201         0.407
  35       232.479         0.409
  36       236.759         0.409
  37       241.042         0.413
  38       245.328         0.416
  39       249.616         0.407
  40       253.908         0.404
  41       258.202         0.413
  42       262.499         0.415
  43       266.798         0.425
  44       271.099         0.423
  45       275.461         0.422
  46       279.825         0.424
  47       284.134         0.431
  48       288.445         0.392
  49       292.759         0.392
  50       297.075         0.430
  51       301.393         0.430
  52       305.712         0.442
  53       310.034         0.445
  54       314.360         0.443
  55       318.687         0.439
  56       323.015         0.434
  57       327.402         0.434
  58       331.791         0.424
  59       336.125         0.441
  60       340.462         0.425
  61       344.799         0.412
  62       349.139         0.448
  63       353.482         0.457
  64       357.825         0.463
  65       362.170         0.459
  66       366.516         0.466
  67       370.864         0.461
  68       375.215         0.463
  69       379.633         0.463
  70       384.052         0.462
  71       388.406         0.456
  72       392.761         0.442
  73       397.117         0.455
  74       401.476         0.471
  75       405.836         0.473
  76       410.195         0.477
  77       414.556         0.488
  78       418.919         0.482
  79       423.283         0.489
  80       427.646         0.492
  81       432.066         0.497
  82       436.487         0.496
  83       440.855         0.500
  84       445.223         0.496
  85       449.591         0.498
  86       453.960         0.504
  87       458.331         0.512
  88       462.701         0.507
  89       467.072         0.508
  90       471.444         0.513
  91       475.816         0.515
  92       480.188         0.515
  93       484.624         0.517
  94       489.060         0.520
  95       493.432         0.520
  96       497.805         0.523
  97       502.178         0.528
  98       506.551         0.533
  99       510.924         0.537
  100       515.297         0.530
  101       519.670         0.536
  102       524.043         0.540
  103       528.416         0.546
  104       532.787         0.545
  105       537.220         0.543
  106       541.652         0.540
  107       546.022         0.553
  108       550.393         0.557
  109       554.763         -0.000
  110       559.132         -0.000
  111       563.499         0.567
  112       567.866         0.567
  113       572.233         0.571
  114       576.598         0.580
  115       580.963         0.586
  116       585.326         0.591
  117       589.748         0.597
  118       594.169         0.601
  119       598.528         0.606
  120       602.886         0.616
  121       607.242         0.619
  122       611.599         0.619
  123       615.953         0.621
  124       620.306         0.618
  125       624.656         0.601
  126       629.005         0.556
  127       633.353         0.528
  128       637.699         0.505
  129       642.109         0.471
  130       646.518         0.454
  131       650.857         0.443
  132       655.195         0.419
  133       659.530         0.418
  134       663.863         0.436
  135       668.194         0.436
  136       672.522         0.454
  137       676.847         0.458
  138       681.171         0.451
  139       685.492         0.455
  140       689.810         0.452
  141       694.190         0.441
  142       698.568         0.434
  143       702.877         0.435
  144       707.183         0.437
  145       711.487         0.457
  146       715.787         0.458
  147       720.085         0.446
  148       724.378         0.450
  149       728.669         0.453
  150       732.956         0.457
  151       737.240         0.445
  152       741.521         0.453
  153       745.851         0.439
  154       750.177         0.445
  155       754.446         0.456
  156       758.712         0.458
  157       762.973         0.464
  158       767.231         0.463
  159       771.484         0.469
  160       775.734         -0.000
  161       779.980         0.463
  162       784.220         0.457
  163       788.457         0.478
  164       792.689         0.475
  165       796.976         0.432
  166       801.258         0.464
  167       805.477         0.477
  168       809.691         0.474
  169       813.899         0.474
  170       818.102         0.481
  171       822.301         0.471
  172       826.495         0.457
  173       830.684         0.474
  174       834.867         0.458
  175       839.046         0.475
  176       843.268         0.479
  177       847.484         0.482
  178       851.646         0.485
  179       855.803         0.483
  180       859.954         0.475
  181       864.099         0.490
  182       868.237         0.488
  183       872.370         0.496
  184       876.498         0.491
  185       880.620         0.493
  186       884.736         0.500
  187       888.899         0.483
  188       893.056         0.475
  189       897.154         0.470
  190       901.244         0.470
  191       905.327         0.461
  192       909.403         0.460
  193       913.473         0.461
  194       917.536         0.456
  195       921.594         0.453
  196       925.643         0.444
  197       929.686         0.458
  198       933.775         0.447
  199       937.856         0.435
  200       941.877         0.453
  201       945.891         0.445
  202       949.898         0.468
  203       953.897         0.462
  204       957.890         0.460
  205       961.875         0.456
  206       965.852         0.460
  207       969.821         0.449
  208       973.782         0.456
  209       977.786         0.461
  210       981.782         0.463
  211       985.720         0.456
  212       989.648         0.442
  213       993.570         0.464
  214       997.482         0.457
  215       1001.387         0.464
  216       1005.284         0.467
  217       1009.173         0.468
  218       1013.053         0.475
  219       1016.924         0.463
  220       1020.833         0.470
  221       1024.735         0.466
  222       1028.581         0.476
  223       1032.417         0.474
  224       1036.243         0.472
  225       1040.061         0.471
  226       1043.871         0.462
  227       1047.670         0.468
  228       1051.460         0.468
  229       1055.243         0.455
  230       1059.062         0.449
  231       1062.870         0.436
  232       1066.623         0.467
  233       1070.367         0.442
  234       1074.101         0.460
  235       1077.825         0.467
  236       1081.541         0.469
  237       1085.246         0.470
  238       1088.941         0.453
  239       1092.627         0.475
  240       1096.340         0.457
  241       1100.042         0.467
  242       1103.698         0.470
  243       1107.344         0.471
  244       1110.979         0.472
  245       1114.604         0.471
  246       1118.219         0.446
  247       1121.823         0.473
  248       1125.417         0.468
  249       1129.001         0.455
  250       1132.615         0.468
  251       1136.219         0.486
  252       1139.771         0.470
  253       1143.311         0.482
  254       1146.842         0.474
  255       1150.362         0.471
  256       1153.871         0.000
  257       1157.369         0.474
  258       1160.856         0.489
  259       1164.366         0.480
  260       1167.865         0.483
  261       1171.318         0.473
  262       1174.762         0.474
  263       1178.194         0.475
  264       1181.615         0.486
  265       1185.025         0.486
  266       1188.424         0.469
  267       1191.812         0.481
  268       1195.224         0.475
  269       1198.626         0.494
  270       1201.979         0.482
  271       1205.321         0.483
  272       1208.652         0.489
  273       1211.970         0.492
  274       1215.277         0.475
  275       1218.574         0.479
  276       1221.859         0.476
  277       1225.168         0.476
  278       1228.464         0.491
  279       1231.712         0.506
  280       1234.951         0.474
  281       1238.178         0.484
  282       1241.392         0.500
  283       1244.596         0.475
  284       1247.788         0.484
  285       1250.967         0.479
  286       1254.176         0.434
  287       1257.373         0.502
  288       1260.518         0.497
  289       1263.651         0.498
  290       1266.772         0.494
  291       1269.882         0.484
  292       1272.981         0.568
  293       1276.067         0.485
  294       1279.143         0.502
  295       1282.207         0.478
  296       1285.258         0.482
