# Bin     Bin Center     Bin Content
  1       45.250         0.249
  2       92.588         0.242
  3       96.762         0.234
  4       100.939         0.236
  5       105.120         0.276
  6       109.368         0.337
  7       113.618         0.299
  8       117.809         0.349
  9       122.004         0.385
  10       126.203         0.385
  11       130.406         0.380
  12       134.612         0.339
  13       138.821         0.347
  14       143.034         0.382
  15       147.249         0.396
  16       151.469         0.396
  17       155.692         0.378
  18       159.918         0.347
  19       164.208         0.375
  20       168.501         0.352
  21       172.737         0.346
  22       176.976         0.382
  23       181.218         0.403
  24       185.463         0.338
  25       189.712         0.347
  26       193.964         0.383
  27       198.218         0.346
  28       202.476         0.364
  29       206.737         0.409
  30       211.000         0.424
  31       215.266         0.426
  32       219.594         0.420
  33       223.925         0.419
  34       228.201         0.421
  35       232.479         0.418
  36       236.759         0.424
  37       241.042         0.430
  38       245.328         0.432
  39       249.616         0.423
  40       253.908         0.416
  41       258.202         0.421
  42       262.499         0.427
  43       266.798         0.434
  44       271.099         0.438
  45       275.461         0.433
  46       279.825         0.444
  47       284.134         0.448
  48       288.445         0.422
  49       292.759         0.396
  50       297.075         0.443
  51       301.393         0.453
  52       305.712         0.457
  53       310.034         0.458
  54       314.360         0.460
  55       318.687         0.454
  56       323.015         0.442
  57       327.402         0.452
  58       331.791         0.443
  59       336.125         0.465
  60       340.462         0.459
  61       344.799         0.445
  62       349.139         0.464
  63       353.482         0.469
  64       357.825         0.474
  65       362.170         0.477
  66       366.516         0.485
  67       370.864         0.474
  68       375.215         0.477
  69       379.633         0.480
  70       384.052         0.489
  71       388.406         0.467
  72       392.761         0.445
  73       397.117         0.475
  74       401.476         0.491
  75       405.836         0.496
  76       410.195         0.497
  77       414.556         0.507
  78       418.919         0.504
  79       423.283         0.506
  80       427.646         0.509
  81       432.066         0.509
  82       436.487         0.509
  83       440.855         0.523
  84       445.223         0.516
  85       449.591         0.517
  86       453.960         0.524
  87       458.331         0.527
  88       462.701         0.520
  89       467.072         0.524
  90       471.444         0.535
  91       475.816         0.527
  92       480.188         0.535
  93       484.624         0.541
  94       489.060         0.538
  95       493.432         0.537
  96       497.805         0.551
  97       502.178         0.549
  98       506.551         0.543
  99       510.924         0.554
  100       515.297         0.552
  101       519.670         0.557
  102       524.043         0.566
  103       528.416         0.567
  104       532.787         0.566
  105       537.220         0.567
  106       541.652         0.562
  107       546.022         0.579
  108       550.393         0.574
  109       554.763         0.000
  110       559.132         0.000
  111       563.499         0.586
  112       567.866         0.592
  113       572.233         0.597
  114       576.598         0.590
  115       580.963         0.601
  116       585.326         0.611
  117       589.748         0.612
  118       594.169         0.619
  119       598.528         0.626
  120       602.886         0.632
  121       607.242         0.623
  122       611.599         0.627
  123       615.953         0.636
  124       620.306         0.636
  125       624.656         0.626
  126       629.005         0.585
  127       633.353         0.565
  128       637.699         0.555
  129       642.109         0.510
  130       646.518         0.478
  131       650.857         0.463
  132       655.195         0.438
  133       659.530         0.425
  134       663.863         0.453
  135       668.194         0.459
  136       672.522         0.452
  137       676.847         0.460
  138       681.171         0.455
  139       685.492         0.462
  140       689.810         0.462
  141       694.190         0.450
  142       698.568         0.454
  143       702.877         0.466
  144       707.183         0.465
  145       711.487         0.475
  146       715.787         0.460
  147       720.085         0.465
  148       724.378         0.452
  149       728.669         0.474
  150       732.956         0.462
  151       737.240         0.459
  152       741.521         0.461
  153       745.851         0.437
  154       750.177         0.455
  155       754.446         0.486
  156       758.712         0.477
  157       762.973         0.474
  158       767.231         0.476
  159       771.484         0.479
  160       775.734         0.000
  161       779.980         0.472
  162       784.220         0.482
  163       788.457         0.481
  164       792.689         0.479
  165       796.976         0.451
