# Bin     Bin Center     Bin Content
  1       45.250         0.770
  2       92.588         0.919
  3       96.762         0.876
  4       100.939         0.735
  5       105.120         0.718
  6       109.368         0.725
  7       113.618         0.693
  8       117.809         0.667
  9       122.004         0.621
  10       126.203         0.640
  11       130.406         0.652
  12       134.612         0.725
  13       138.821         0.727
  14       143.034         0.692
  15       147.249         0.685
  16       151.469         0.673
  17       155.692         0.742
  18       159.918         0.866
  19       164.208         0.785
  20       168.501         0.759
  21       172.737         0.723
  22       176.976         0.675
  23       181.218         0.688
  24       185.463         0.932
  25       189.712         0.902
  26       193.964         0.805
  27       198.218         0.797
  28       202.476         0.774
  29       206.737         0.738
  30       211.000         0.701
  31       215.266         0.709
  32       219.594         0.712
  33       223.925         0.740
  34       228.201         0.742
  35       232.479         0.740
  36       236.759         0.745
  37       241.042         0.754
  38       245.328         0.757
  39       249.616         0.737
  40       253.908         0.766
  41       258.202         0.754
  42       262.499         0.745
  43       266.798         0.781
  44       271.099         0.797
  45       275.461         0.788
  46       279.825         0.771
  47       284.134         0.790
  48       288.445         0.866
  49       292.759         0.866
  50       297.075         0.831
  51       301.393         0.801
  52       305.712         0.790
  53       310.034         0.805
  54       314.360         0.805
  55       318.687         0.849
  56       323.015         0.828
  57       327.402         0.859
  58       331.791         0.887
  59       336.125         0.881
  60       340.462         0.870
  61       344.799         0.890
  62       349.139         0.895
  63       353.482         0.867
  64       357.825         0.866
  65       362.170         0.864
  66       366.516         0.910
  67       370.864         0.911
  68       375.215         0.885
  69       379.633         0.943
  70       384.052         0.950
  71       388.406         0.967
  72       392.761         1.007
  73       397.117         0.966
  74       401.476         1.014
  75       405.836         1.090
  76       410.195         0.945
  77       414.556         0.980
  78       418.919         0.981
  79       423.283         0.970
  80       427.646         0.992
  81       432.066         1.000
  82       436.487         0.978
  83       440.855         0.997
  84       445.223         1.022
  85       449.591         1.019
  86       453.960         1.033
  87       458.331         1.049
  88       462.701         1.048
  89       467.072         1.075
  90       471.444         1.082
  91       475.816         1.097
  92       480.188         1.103
  93       484.624         1.100
  94       489.060         1.124
  95       493.432         1.127
  96       497.805         1.158
  97       502.178         1.151
  98       506.551         1.213
  99       510.924         1.193
  100       515.297         1.277
  101       519.670         1.305
  102       524.043         1.314
  103       528.416         1.293
  104       532.787         1.289
  105       537.220         1.366
  106       541.652         1.392
  107       546.022         1.340
